Código;Descripción corta;UdM base;Tipo;Perfil logístico
1F5IGBOEN%CQ37;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IGBOEN%CQ38;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IGBOEN%CQ39;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IGBOEN%CQ40;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBLANE%BN36;BORCEGO CON LOGOS;UN;CALZADO;
1F5IPBLANE%BN37;BORCEGO CON LOGOS;UN;CALZADO;
1F5IPBLANE%BN38;BORCEGO CON LOGOS;UN;CALZADO;
1F5IPBLANE%BN39;BORCEGO CON LOGOS;UN;CALZADO;
1F5IPBLANE%BN40;BORCEGO CON LOGOS;UN;CALZADO;
1F5IPBOEN%XC35;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBOEN%XC36;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBOEN%XC37;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBOEN%XC38;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBOEN%XC39;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IPBOEN%XC40;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5VCAPPA%MR35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%MR36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%MR37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%MR38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%MR39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%MR40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VCAPPA%NG40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VGAPPA%AR40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%LE40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VPAPPA%XC40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VTSERE%FN35;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VTSERE%FN36;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VTSERE%FN37;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VTSERE%FN38;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VTSERE%FN39;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VTSERE%FN40;SANDALIA CON PLANTILLA BIRK;UN;CALZADO;
1F5VXAPPA%OP35;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VXAPPA%OP36;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VXAPPA%OP37;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VXAPPA%OP38;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VXAPPA%OP39;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F5VXAPPA%OP40;SANDALIA DOBLE HEBILLA;UN;CALZADO;
1F6VCAPPA%NG35;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCAPPA%NG36;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCAPPA%NG37;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCAPPA%NG38;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCAPPA%NG39;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCAPPA%NG40;SANDALIA DOBLE HEBILLA ACCESORIO CUERO;UN;CALZADO;
1F6VCBLEX%NG35;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCBLEX%NG36;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCBLEX%NG37;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCBLEX%NG38;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCBLEX%NG39;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCBLEX%NG40;SANDALIA CON TACHAS;UN;CALZADO;
1F6VCSOFA%NG35;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCSOFA%NG36;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCSOFA%NG37;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCSOFA%NG38;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCSOFA%NG39;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCSOFA%NG40;BIRK CON VELCRO Y BORDADO;UN;CALZADO;
1F6VCZABA%NG35;SANDALIA CON TIRAS CRUZADAS Y TACHAS;UN;CALZADO;
1F6VCZABA%NG36;SANDALIA CON TIRAS CRUZADAS Y TACHAS;UN;CALZADO;
1F6VCZABA%NG37;SANDALIA CON TIRAS CRUZADAS Y TACHAS;UN;CALZADO;
1F6VCZABA%NG38;SANDALIA CON TIRAS CRUZADAS Y TACHAS;UN;CALZADO;
